Time,Peak Current
0,0.33
2.02,1.49
4.04,2.16
6.06,2.63
8.08,2.96
10.1,3.2
12.12,3.39
14.14,3.6
16.16,3.71
18.18,3.84
20.2,3.96
22.22,4.04
24.24,4.09
26.26,4.14
28.28,4.22
30.3,4.28
32.32,4.32
34.34,4.39
36.36,4.41
38.38,4.42
40.4,4.48
42.42,4.52
44.44,4.58
46.46,4.63
48.48,4.67
50.5,4.7
52.52,4.72
54.54,4.74
56.56,4.75
58.58,4.79
60.6,4.82
62.62,4.83
64.64,4.84
66.66,4.83
68.68,4.84
70.7,4.87
72.72,4.87
74.74,4.86
76.76,4.86
78.78,4.86
80.8,4.86
82.82,4.87
84.84,4.88
86.86,4.87
88.88,4.88
90.9,4.88
92.92,4.89
94.94,4.89
96.96,4.89
98.98,4.89
101,4.88
103.02,4.88
105.04,4.88
107.06,4.88
109.08,4.88
