Time,Peak Current
0,0.415853768
2.02,1.594126594
4.04,1.839059717
6.06,1.888679063
8.08,1.906131988
10.1,1.930056829
12.12,1.942314752
14.14,1.949378431
16.16,1.947098633
18.18,1.941898852
20.2,1.925081518
22.22,1.910483631
24.24,1.904618409
26.26,1.897905043
28.28,1.897377745
30.3,1.89434555
32.32,1.887520529
34.34,1.88670247
36.36,1.893717057
38.38,1.897390362
40.4,1.870691367
42.42,1.872774999
44.44,1.87049466
46.46,1.86597596
48.48,1.862509126
50.5,1.859011733
52.52,1.855436336
54.54,1.849030601
56.56,1.841086504
58.58,1.818019713
60.6,1.812872989
62.62,1.810551997
64.64,1.802535878
66.66,1.800953727
68.68,1.797046159
70.7,1.792136291
72.72,1.789235148
74.74,1.783490408
76.76,1.772894266
78.78,1.776412951
80.8,1.765884429
82.82,1.761166757
84.84,1.766780731
86.86,1.768696275
88.88,1.751413262
90.9,1.750387964
92.92,1.745032553
94.94,1.751812128
96.96,1.734596175
98.98,1.73431616
101,1.72747897
103.02,1.726085675
105.04,1.722438944
107.06,1.718730395
109.08,1.71380139
