Time,Peak Current
0,0.218230007
2.02,0.930522847
4.04,1.262706157
6.06,1.464101147
8.08,1.585349048
10.1,1.663237808
12.12,1.709390683
14.14,1.735907098
16.16,1.748705453
18.18,1.748271399
20.2,1.743252969
22.22,1.729771968
24.24,1.715509418
26.26,1.693934512
28.28,1.681605109
30.3,1.65642015
32.32,1.623084035
34.34,1.591759281
36.36,1.557929393
38.38,1.522748758
40.4,1.484468891
42.42,1.452097099
44.44,1.418662192
46.46,1.38571342
48.48,1.35195549
50.5,1.318370682
52.52,1.287254501
54.54,1.256108113
56.56,1.224418628
58.58,1.194154904
60.6,1.163735189
62.62,1.135726959
64.64,1.103916006
66.66,1.076059076
68.68,1.047464389
70.7,1.019467252
72.72,0.993754822
74.74,0.968145508
76.76,0.944498565
78.78,0.917756321
80.8,0.891942206
82.82,0.866606449
