Time,Peak Current
0,0.306506762
2.02,1.786380063
4.04,2.134664197
6.06,2.196290143
8.08,2.187149524
10.1,2.17419791
12.12,2.101566966
14.14,2.019509709
16.16,1.935840368
18.18,1.902864153
20.2,1.830360299
22.22,1.77150503
24.24,1.722074611
26.26,1.690294172
28.28,1.632929794
30.3,1.581908162
32.32,1.555800691
34.34,1.497337669
36.36,1.466194107
38.38,1.428569592
40.4,1.39821925
42.42,1.357351083
44.44,1.340121984
46.46,1.311063782
48.48,1.287088716
50.5,1.272198707
52.52,1.249318365
54.54,1.228166525
56.56,1.205657121
58.58,1.183402956
60.6,1.1516405
62.62,1.14005174
64.64,1.11950242
66.66,1.087906088
