Time,Peak Current
0,0.690706979
0.4,1.122488456
0.8,1.397860008
1.2,1.612175614
1.6,1.797712157
2,1.954548117
2.4,2.097755073
2.8,2.234636509
3.2,2.366785055
3.6,2.501569125
4,2.631911983
4.4,2.755154834
4.8,2.872801179
5.2,2.98605915
5.6,3.085615379
6,3.179572326
6.4,3.26266525
6.8,3.341169551
7.2,3.419647857
7.6,3.499881285
8,3.566155708
8.4,3.632800631
8.8,3.690594069
9.2,3.741953369
9.6,3.793662435
10,3.841230998
10.4,3.880939406
10.8,3.919696102
11.2,3.959857628
11.6,3.99334503
12,4.026694184
12.4,4.058345755
12.8,4.100577079
13.2,4.119781607
13.6,4.152364512
14,4.176801961
14.4,4.201500635
14.8,4.236254945
15.2,4.254970438
15.6,4.271987376
16,4.288348811
16.4,4.30913866
16.8,4.328157075
17.2,4.337887826
17.6,4.342137815
18,4.345934267
18.4,4.354871724
18.8,4.363771757
19.2,4.381056352
19.6,4.386932715
20,4.398084572
20.4,4.414757235
20.8,4.429944713
21.2,4.435193041
21.6,4.435720639
22,4.443778369
22.4,4.450096865
22.8,4.444485451
23.2,4.45036275
23.6,4.451910602
24,4.458570946
24.4,4.468725576
24.8,4.487594158
25.2,4.498453784
25.6,4.493541562
26,4.492177526
26.4,4.493561416
26.8,4.503984019
27.2,4.516624401
27.6,4.528615407
28,4.53965638
28.4,4.562689697
28.8,4.552021325
29.2,4.545563721
29.6,4.556377255
30,4.548704177
30.4,4.54704137
30.8,4.537418312
31.2,4.537872689
31.6,4.554463283
32,4.560490957
32.4,4.553286301
32.8,4.549836802
33.2,4.549937944
33.6,4.56426141
34,4.573978416
34.4,4.555874696
34.8,4.566621705
35.2,4.56898856
35.6,4.569108267
36,4.561643646
36.4,4.578566525
36.8,4.588387277
37.2,4.607331031
37.6,4.597262109
38,4.589849597
38.4,4.583505719
38.8,4.596889838
39.2,4.604063663
39.6,4.606039033
