Time,Peak Current
0,0.073542383
0.4,0.053440451
0.8,0.052229124
1.2,0.043852964
1.6,0.043482444
2,0.048068925
2.4,0.048576085
2.8,0.048175841
3.2,0.043742982
3.6,0.04581162
4,0.052886236
4.4,0.04466506
4.8,0.046891924
5.2,0.042789188
5.6,0.044755331
6,0.041996452
6.4,0.037327455
6.8,0.038114688
7.2,0.0388481
7.6,0.031840438
8,0.039171767
8.4,0.03332863
8.8,0.03365586
9.2,0.034313984
9.6,0.039338741
10,0.033603468
10.4,0.03626237
10.8,0.033183578
11.2,0.030975917
11.6,0.027289075
12,0.034057488
12.4,0.029973477
12.8,0.031596658
13.2,0.031209982
13.6,0.024794186
14,0.028240968
14.4,0.038229581
14.8,0.032554847
15.2,0.023088862
15.6,0.028252182
16,0.037892813
16.4,0.031659977
16.8,0.035197081
17.2,0.041696466
17.6,0.04007688
18,0.042735825
18.4,0.041102414
18.8,0.028437335
19.2,0.034372348
19.6,0.036742559
20,0.038731794
20.4,0.039967643
20.8,0.037105363
21.2,0.04027883
21.6,0.045097545
22,0.046828429
22.4,0.039330547
22.8,0.039293266
23.2,0.045284654
23.6,0.052545198
24,0.053260884
24.4,0.041308971
24.8,0.051408349
25.2,0.055390996
25.6,0.055688628
26,0.063009973
26.4,0.064157089
26.8,0.054877327
27.2,0.060601292
27.6,0.063651054
28,0.066994415
28.4,0.061912341
28.8,0.073434863
29.2,0.07359146
29.6,0.071309884
30,0.079822949
30.4,0.084356504
30.8,0.08114897
31.2,0.085483089
31.6,0.081937898
32,0.085309456
32.4,0.079574097
32.8,0.09185222
33.2,0.096638177
33.6,0.096770647
34,0.094723946
34.4,0.098873597
34.8,0.097030836
35.2,0.106258029
35.6,0.103723768
36,0.107410046
36.4,0.110845404
36.8,0.109020575
37.2,0.113672269
37.6,0.120445401
38,0.120786002
38.4,0.12476081
38.8,0.119893749
39.2,0.123672299
39.6,0.126275365
40,0.12851296
40.4,0.128403075
40.8,0.137166624
41.2,0.132237802
41.6,0.14651203
42,0.144981593
42.4,0.142135347
42.8,0.150753175
43.2,0.147903532
43.6,0.151703256
44,0.159317145
44.4,0.157128343
44.8,0.161722208
45.2,0.168806913
45.6,0.16318617
46,0.168456206
46.4,0.168345954
46.8,0.179864084
47.2,0.175020104
47.6,0.181761549
48,0.181212769
48.4,0.185000271
48.8,0.186531601
49.2,0.189154993
49.6,0.193299316
50,0.194402729
50.4,0.197943299
50.8,0.200266378
51.2,0.205702176
51.6,0.211498216
52,0.210801887
52.4,0.213665616
52.8,0.221872487
53.2,0.2198382
53.6,0.224238463
54,0.228021895
54.4,0.227458949
54.8,0.231899511
55.2,0.239991815
55.6,0.241901116
56,0.242798065
56.4,0.247145292
56.8,0.25224227
57.2,0.248386731
57.6,0.253432196
58,0.253691324
58.4,0.265355055
58.8,0.265770351
59.2,0.267301017
59.6,0.275714848
60,0.268617685
60.4,0.285195558
60.8,0.279940881
61.2,0.285016133
61.6,0.288979567
62,0.297513885
62.4,0.302809941
62.8,0.30572337
63.2,0.301893884
63.6,0.301781345
64,0.309062229
64.4,0.315170424
64.8,0.317287985
65.2,0.320585523
65.6,0.323103732
66,0.328293874
66.4,0.332777472
66.8,0.331801001
67.2,0.342594249
67.6,0.344426729
68,0.349489673
68.4,0.355657518
68.8,0.367150257
69.2,0.361788234
69.6,0.371555746
70,0.371928523
70.4,0.374451221
70.8,0.377639892
71.2,0.380750402
71.6,0.387471421
72,0.391576616
72.4,0.391676094
72.8,0.392036107
73.2,0.394020748
73.6,0.4018158
74,0.409708185
74.4,0.415554203
74.8,0.412301228
75.2,0.423902375
75.6,0.428502678
76,0.437654178
76.4,0.433854739
76.8,0.444365593
77.2,0.448123738
77.6,0.457319281
78,0.454863608
78.4,0.466405061
78.8,0.464182386
79.2,0.468059513
79.6,0.473619985
80,0.47617865
80.4,0.483972279
80.8,0.486808645
81.2,0.492683086
81.6,0.493099077
82,0.499163848
82.4,0.497144878
82.8,0.510110654
83.2,0.515177459
83.6,0.51163013
84,0.521912021
84.4,0.526892754
84.8,0.532241044
85.2,0.533655172
85.6,0.535549308
86,0.53738541
86.4,0.54558624
86.8,0.553340377
87.2,0.55591335
87.6,0.560898192
88,0.568186698
88.4,0.564143996
88.8,0.571894852
89.2,0.579636013
89.6,0.582476259
90,0.587042412
90.4,0.594252159
90.8,0.595929457
91.2,0.590151769
91.6,0.608416126
92,0.613338631
92.4,0.622452332
