Time,Peak Current
3.8,0.098580151
4,0.097494761
4.2,0.0983014
4.4,0.09701276
4.6,0.097280482
4.8,0.093606442
5,0.092531569
5.2,0.093682617
5.4,0.089923959
5.6,0.089813897
5.8,0.089939072
6,0.090151424
6.2,0.09235007
6.4,0.08936504
6.6,0.091144942
6.8,0.091095661
7,0.093595327
7.2,0.093001392
7.4,0.092742738
7.6,0.092434328
7.8,0.092532093
8,0.09719348
8.2,0.095353157
8.4,0.096853746
8.6,0.099452712
8.8,0.102741073
9,0.104675127
9.2,0.112997503
9.4,0.120393922
9.6,0.12320685
9.8,0.130379753
10,0.135062528
10.2,0.141412398
10.4,0.147585889
10.6,0.150749782
10.8,0.157005277
11,0.163773576
11.2,0.171044489
11.4,0.176559856
11.6,0.185005054
11.8,0.193388195
12,0.201258345
12.2,0.211481807
12.4,0.219492057
12.6,0.228302092
12.8,0.237633637
13,0.246891638
13.2,0.256592608
13.4,0.266353371
13.6,0.277727942
13.8,0.286848467
14,0.298976584
14.2,0.309310331
14.4,0.321427925
14.6,0.332255906
14.8,0.343282112
15,0.356335888
15.2,0.369411095
15.4,0.381010225
15.6,0.393709178
15.8,0.407628439
16,0.422451474
16.2,0.438521076
16.4,0.448027734
16.6,0.463440384
16.8,0.477234185
17,0.492827144
17.2,0.507337488
17.4,0.52105955
17.6,0.536495301
17.8,0.551500076
18,0.567557235
18.2,0.582446733
18.4,0.597630834
18.6,0.613507469
18.8,0.629237796
19,0.647298019
19.2,0.66294628
19.4,0.678962092
19.6,0.695294564
19.8,0.712723721
20,0.729109982
20.2,0.745722344
20.4,0.763465533
20.6,0.779604693
20.8,0.797809671
21,0.816079767
21.2,0.833367177
21.4,0.851524579
21.6,0.869667022
21.8,0.887934053
22,0.905709342
22.2,0.922894504
22.4,0.944570025
22.6,0.964835893
22.8,0.985327362
23,1.005053548
23.2,1.023623482
23.4,1.041117459
23.6,1.062568581
23.8,1.083467765
24,1.101885464
24.2,1.122982789
24.4,1.142755206
24.6,1.165817415
24.8,1.188072293
25,1.2084187
25.2,1.228287771
25.4,1.250634059
25.6,1.272653148
25.8,1.296161786
26,1.317043403
26.2,1.339348449
26.4,1.360412949
26.6,1.38143127
26.8,1.403092605
27,1.426943594
27.2,1.453318684
27.4,1.473584887
27.6,1.49319835
27.8,1.51638189
28,1.537970494
28.2,1.558529432
28.4,1.581833
28.6,1.602371534
28.8,1.6257466
29,1.645872297
29.2,1.666136372
29.4,1.689268663
29.6,1.711502879
29.8,1.73636569
30,1.754619594
30.2,1.776685178
30.4,1.798551623
30.6,1.819767025
30.8,1.840408033
31,1.864471462
31.2,1.885335245
31.4,1.907486255
31.6,1.932183917
31.8,1.953226119
32,1.975324022
32.2,1.998026733
32.4,2.017921877
32.6,2.044470009
32.8,2.064099721
33,2.086800253
33.2,2.109872774
33.4,2.132144563
33.6,2.154968426
33.8,2.17647919
34,2.200394194
34.2,2.222037595
34.4,2.24842665
34.6,2.266192979
34.8,2.287440786
35,2.311574336
35.2,2.334707399
35.4,2.358803178
35.6,2.376728402
35.8,2.395258381
36,2.415218347
36.2,2.437279492
36.4,2.459107112
36.6,2.479624192
36.8,2.499453275
37,2.521609729
37.2,2.541837305
37.4,2.563704014
37.6,2.586645787
37.8,2.603645994
38,2.625827481
38.2,2.647012674
38.4,2.665478696
38.6,2.67970912
38.8,2.699900584
39,2.718093847
39.2,2.740135962
39.4,2.761862595
39.6,2.78004178
39.8,2.797970592
40,2.820192702
40.2,2.840337948
40.4,2.864406569
40.6,2.883259286
40.8,2.902366921
41,2.92231089
41.2,2.94026482
41.4,2.956630325
41.6,2.973704036
41.8,2.993366466
42,3.011728756
42.2,3.02843101
42.4,3.046599722
42.6,3.064482369
42.8,3.080904518
43,3.098083204
43.2,3.116311388
43.4,3.13301517
43.6,3.15451
43.8,3.173674376
44,3.188076463
44.2,3.202301439
44.4,3.220212734
44.6,3.240537684
44.8,3.254140742
45,3.270555292
45.2,3.285114821
45.4,3.29784748
45.6,3.318620837
45.8,3.333925626
46,3.34628077
46.2,3.360737899
46.4,3.379436712
46.6,3.39624542
46.8,3.406379656
47,3.42219555
47.2,3.437138677
47.4,3.451867147
47.6,3.468945832
47.8,3.484480293
48,3.500034005
48.2,3.512674903
48.4,3.530854476
48.6,3.542428731
48.8,3.557597961
49,3.571610532
49.2,3.585847064
49.4,3.599318572
49.6,3.612540912
49.8,3.623255803
50,3.63613726
50.2,3.650309115
50.4,3.661083864
50.6,3.671744586
50.8,3.686063427
51,3.698435696
51.2,3.706512219
51.4,3.721179624
51.6,3.732224146
51.8,3.743015818
52,3.753729493
52.2,3.763427478
52.4,3.774537763
52.6,3.788316733
52.8,3.801045692
53,3.801578323
53.2,3.812413849
53.4,3.821060066
53.6,3.832905271
53.8,3.846243691
54,3.857768691
54.2,3.867647179
54.4,3.877316897
54.6,3.886401399
54.8,3.895447354
55,3.905461102
55.2,3.915159802
55.4,3.923452012
55.6,3.93099828
55.8,3.941264661
56,3.94879877
56.2,3.960646778
56.4,3.965516186
56.6,3.975394087
56.8,3.981445505
57,3.990658059
57.2,3.99537923
57.4,4.005468548
57.6,4.011353107
57.8,4.019336072
58,4.0285107
58.2,4.03653672
58.4,4.035005178
58.6,4.047035041
58.8,4.052714536
59,4.058682432
59.2,4.063835563
59.4,4.065834452
59.6,4.070595761
59.8,4.07682303
60,4.081866229
60.2,4.090586253
60.4,4.095095486
60.6,4.101599148
60.8,4.106270489
61,4.114251855
61.2,4.119587739
61.4,4.122521448
61.6,4.1272474
61.8,4.129736692
62,4.130201627
62.2,4.135381286
62.4,4.138102523
62.6,4.144756209
62.8,4.143452682
63,4.145176418
63.2,4.148879202
63.4,4.154931817
63.6,4.15839023
63.8,4.163859788
64,4.166966048
64.2,4.169811503
64.4,4.175297126
64.6,4.174677525
64.8,4.178615346
65,4.180010683
65.2,4.179270773
65.4,4.184234732
65.6,4.188455047
65.8,4.190877374
66,4.188108199
66.2,4.192384001
66.4,4.197469879
66.6,4.199581353
66.8,4.197198211
67,4.199225411
67.2,4.200047747
67.4,4.205567335
67.6,4.202638497
67.8,4.204798254
68,4.204754867
68.2,4.205549671
68.4,4.208030739
68.6,4.209644118
68.8,4.207909972
69,4.209038035
69.2,4.20432587
69.4,4.203733605
69.6,4.209330021
69.8,4.206887782
70,4.208032119
70.2,4.208566246
70.4,4.207074611
70.6,4.206059878
70.8,4.203452048
71,4.205826673
71.2,4.20659933
71.4,4.204710515
71.6,4.201317385
71.8,4.200408602
72,4.198798703
72.2,4.197356883
72.4,4.200539189
72.6,4.203478287
72.8,4.202071387
73,4.194522833
73.2,4.193076026
73.4,4.192288165
73.6,4.192501082
73.8,4.191358585
74,4.189606798
74.2,4.190281135
74.4,4.189144166
74.6,4.186292445
74.8,4.182680013
75,4.182394393
75.2,4.180609233
75.4,4.176710612
75.6,4.175401769
75.8,4.176311615
76,4.174349701
76.2,4.174341445
76.4,4.179252831
76.6,4.173883326
76.8,4.171256061
77,4.167195147
77.2,4.168076266
77.4,4.166466857
77.6,4.164409851
77.8,4.163762721
78,4.160153843
78.2,4.160258031
