Time,Peak Current
0,0.038372267
0.4,0.052016844
0.8,0.061913716
1.2,0.067146249
1.6,0.071766047
2,0.07630943
2.4,0.080817198
2.8,0.08494191
3.2,0.089818312
3.6,0.095873963
4,0.103222964
4.4,0.111957375
4.8,0.121658031
5.2,0.130549179
5.6,0.140222502
6,0.14773974
6.4,0.15528251
6.8,0.160525649
7.2,0.165646124
7.6,0.169259413
8,0.171199721
8.4,0.172802387
8.8,0.172284492
9.2,0.171263969
9.6,0.170558802
10,0.168348708
10.4,0.166911086
10.8,0.164509384
11.2,0.162187099
11.6,0.158349678
12,0.156480588
12.4,0.154152049
12.8,0.151426145
13.2,0.148857327
13.6,0.146705838
14,0.143801526
14.4,0.140889786
14.8,0.139102548
