Time,Peak Current
0,0.32410539
0.4,0.435230847
0.8,0.494495481
1.2,0.54077404
1.6,0.575657959
2,0.593445738
2.4,0.604069261
2.8,0.606782188
3.2,0.604048326
3.6,0.59859537
4,0.593509566
4.4,0.586457132
4.8,0.577738978
5.2,0.568325042
5.6,0.558368665
6,0.547460745
6.4,0.538241896
6.8,0.529622534
7.2,0.521025056
7.6,0.514564468
8,0.505861667
8.4,0.499176366
8.8,0.491906279
9.2,0.485650234
9.6,0.478647819
10,0.471394035
10.4,0.465515995
10.8,0.460061825
11.2,0.454251194
11.6,0.459497963
12,0.441437937
12.4,0.4350976
12.8,0.431577434
13.2,0.426820397
13.6,0.421492542
14,0.416946868
14.4,0.413259811
14.8,0.408910428
15.2,0.404896603
15.6,0.402100388
16,0.398351841
16.4,0.395120946
16.8,0.390950888
17.2,0.386317115
17.6,0.384006007
18,0.38046442
18.4,0.377193699
18.8,0.374491451
19.2,0.369952079
19.6,0.368571933
20,0.365358311
20.4,0.361604582
20.8,0.358543976
21.2,0.355993717
21.6,0.353531402
22,0.349786616
22.4,0.3471881
22.8,0.344824622
23.2,0.342479098
23.6,0.339818435
24,0.33675747
24.4,0.334870647
24.8,0.3325145
25.2,0.329788399
25.6,0.327173074
26,0.325182825
26.4,0.322510944
26.8,0.320475433
27.2,0.317812306
27.6,0.314860286
28,0.313814529
28.4,0.312180324
28.8,0.309728634
29.2,0.307378438
29.6,0.30445445
30,0.303455039
30.4,0.301460661
30.8,0.299148264
31.2,0.297342333
31.6,0.294915342
32,0.293384746
32.4,0.290575243
32.8,0.289534171
33.2,0.287232004
33.6,0.285271297
34,0.283135929
34.4,0.282251772
34.8,0.279997036
35.2,0.278319568
35.6,0.277652473
36,0.274755067
36.4,0.272767107
36.8,0.271516526
37.2,0.26892105
37.6,0.269295194
38,0.266202586
