Time,Peak Current
0,0.068443745
0.2,0.069092301
0.4,0.077362574
0.6,0.082593869
0.8,0.087534308
1,0.090303793
1.2,0.095672004
1.4,0.097759961
1.6,0.102209946
1.8,0.107325198
2,0.111333063
2.2,0.113824823
2.4,0.118096067
2.6,0.121483343
2.8,0.125573447
3,0.126658545
3.2,0.131439455
3.4,0.134104601
3.6,0.138078787
3.8,0.142432885
4,0.14562919
4.2,0.148769164
4.4,0.152870402
4.6,0.159121892
4.8,0.16236051
5,0.167227793
5.2,0.17193037
5.4,0.176334378
5.6,0.180728076
5.8,0.189474872
6,0.193782817
6.2,0.199424383
6.4,0.206168127
6.6,0.211319213
6.8,0.218434623
7,0.22443101
7.2,0.230499129
7.4,0.235297929
7.6,0.241442623
7.8,0.245538396
8,0.251644208
8.2,0.257914241
8.4,0.262847557
8.6,0.265964503
8.8,0.273620352
9,0.280468881
9.2,0.286107857
9.4,0.292996624
9.6,0.296989868
9.8,0.302871817
10,0.308147411
10.2,0.312969479
10.4,0.318509624
10.6,0.326029861
10.8,0.33016923
11,0.337670418
11.2,0.341888252
11.4,0.348365102
11.6,0.353949248
11.8,0.362093878
12,0.365580649
12.2,0.370144501
12.4,0.375782883
12.6,0.380425624
12.8,0.385885726
13,0.392907482
13.2,0.399163688
13.4,0.40262618
13.6,0.408022111
13.8,0.413994235
14,0.417732637
14.2,0.424290774
14.4,0.42834988
14.6,0.436086409
14.8,0.442389402
15,0.446484684
15.2,0.45473251
15.4,0.45797513
15.6,0.463182529
15.8,0.467637719
16,0.471335674
16.2,0.479165433
16.4,0.484284281
16.6,0.488665087
16.8,0.495349554
17,0.501481612
17.2,0.507038534
17.4,0.509812124
17.6,0.516656729
17.8,0.522459776
18,0.52984216
18.2,0.533533342
18.4,0.539406454
18.6,0.545792615
18.8,0.551504671
19,0.558696767
19.2,0.564522709
19.4,0.570593844
19.6,0.574458769
19.8,0.581553985
20,0.586063703
20.2,0.590420306
20.4,0.59477388
