Time,Peak Current
0,0.110311019
1.515,0.326916414
3.03,0.582223405
4.545,0.833552713
6.06,1.022500821
7.575,1.18684207
9.09,1.320999883
10.605,1.41262929
12.12,1.511655491
13.635,1.60289711
15.15,1.6736552
16.665,1.745716925
18.18,1.775547879
19.695,1.839463981
21.21,1.895723255
22.725,1.92774165
24.24,1.994144218
25.755,2.003622783
27.27,2.059494718
28.785,2.08577735
30.3,2.12133184
31.815,2.144014911
33.33,2.189225356
34.845,2.183035462
36.36,2.234914816
37.875,2.233119806
39.39,2.278626057
40.905,2.282833748
42.42,2.317494149
43.935,2.334216073
45.45,2.362272304
46.965,2.382237971
48.48,2.401911749
49.995,2.451170779
51.51,2.458002949
53.025,2.468676873
54.54,2.507995007
56.055,2.524557045
57.57,2.516942351
59.085,2.549438753
60.6,2.558353836
62.115,2.579711731
63.63,2.574167526
65.145,2.605002091
66.66,2.599891615
68.175,2.582152863
