Time,Peak Current
0,0.056031837
2.02,0.459539305
4.04,0.849947096
6.06,1.138105286
8.08,1.342576891
10.1,1.490717145
12.12,1.613151721
14.14,1.702683485
16.16,1.800566923
18.18,1.869281216
20.2,1.920505045
22.22,1.960336354
24.24,1.998752678
26.26,2.034094377
28.28,2.063596319
30.3,2.09195976
32.32,2.117836221
34.34,2.146811825
36.36,2.171081132
38.38,2.190618809
40.4,2.211706633
42.42,2.232602853
44.44,2.249724837
46.46,2.264528588
48.48,2.278793527
50.5,2.293699097
52.52,2.311464802
54.54,2.324507099
56.56,2.337222518
58.58,2.33829049
60.6,2.351816391
62.62,2.365632484
64.64,2.375528067
66.66,2.38215098
68.68,2.388363699
70.7,2.392570913
72.72,2.398039501
74.74,2.40500718
76.76,2.408791111
78.78,2.413475796
80.8,2.414182297
82.82,2.420500997
84.84,2.421204292
86.86,2.422143935
88.88,2.423982746
90.9,2.424601023
92.92,2.423422728
94.94,2.424376359
96.96,2.4252943
98.98,2.42461271
101,2.423635521
103.02,2.422819372
105.04,2.421541168
107.06,2.420564576
109.08,2.419426377
