Time,Peak Current
0,0.111775337
2.02,0.6777345
4.04,0.955552006
6.06,1.107652296
8.08,1.199234519
10.1,1.26391855
12.12,1.306668452
14.14,1.339893386
16.16,1.368419789
18.18,1.389607059
20.2,1.407953637
22.22,1.42232577
24.24,1.444728495
26.26,1.453651169
28.28,1.457821412
30.3,1.465531888
32.32,1.473897899
34.34,1.474624149
36.36,1.486647374
38.38,1.487230233
40.4,1.486844031
42.42,1.488876935
44.44,1.489305331
46.46,1.49243196
48.48,1.492856168
50.5,1.491924021
52.52,1.491863556
54.54,1.489831131
56.56,1.490319908
58.58,1.493161006
60.6,1.493890426
62.62,1.492775694
64.64,1.498114403
66.66,1.485819862
68.68,1.497870759
70.7,1.508983029
72.72,1.502523966
74.74,1.499751757
76.76,1.496679758
78.78,1.491686326
80.8,1.490263643
82.82,1.47549876
84.84,1.475074923
86.86,1.477523952
88.88,1.469350152
90.9,1.456118016
92.92,1.455193185
94.94,1.451454962
96.96,1.443814307
98.98,1.441645867
101,1.433528224
103.02,1.42938444
105.04,1.427569159
107.06,1.418733355
109.08,1.429212174
