Time,Peak Current
0,0.052406964
2.02,0.354871835
4.04,0.561750316
6.06,0.673490195
8.08,0.736313135
10.1,0.771841422
12.12,0.792120112
14.14,0.801602075
16.16,0.810232939
18.18,0.81036327
20.2,0.80343949
22.22,0.795317388
24.24,0.776922384
26.26,0.770304323
28.28,0.759187163
30.3,0.745720183
32.32,0.734725917
34.34,0.718647714
36.36,0.700802816
38.38,0.682008085
40.4,0.666542559
42.42,0.65287464
44.44,0.636935601
46.46,0.621536169
48.48,0.605303087
50.5,0.586191449
52.52,0.568834634
54.54,0.553663722
56.56,0.539038379
58.58,0.523582141
60.6,0.506073303
62.62,0.494375666
64.64,0.480456444
66.66,0.465426569
68.68,0.452332392
70.7,0.438829098
72.72,0.424655036
74.74,0.41003206
76.76,0.396697062
78.78,0.382429016
80.8,0.372158973
82.82,0.359166796
84.84,0.351005934
