Time,Peak Current
0,0.046873
2.02,0.16804
4.04,0.219755
6.06,0.313073
8.08,0.413317
10.1,0.483305
12.12,0.543188
14.14,0.584458
16.16,0.645664
18.18,0.695457
20.2,0.735271
22.22,0.782221
24.24,0.825149
26.26,0.877768
28.28,0.910699
30.3,0.961752
32.32,1.002673
34.34,1.037355
36.36,1.067705
38.38,1.121137
40.4,1.168775
42.42,1.209255
44.44,1.251279
46.46,1.27571
48.48,1.312897
50.5,1.341469
52.52,1.388817
54.54,1.419111
56.56,1.449792
58.58,1.485729
60.6,1.520928
62.62,1.533098
64.64,1.565615
66.66,1.591689
68.68,1.617116
70.7,1.641688
72.72,1.649855
74.74,1.677354
76.76,1.698044
78.78,1.705333
80.8,1.717325
82.82,1.731517
84.84,1.752402
86.86,1.760177
88.88,1.76432
90.9,1.77577
92.92,1.784444
94.94,1.787348
96.96,1.772751
98.98,1.771501
101,1.777258
103.02,1.77068
105.04,1.780779
107.06,1.788567
109.08,1.784604
111.1,1.783721
113.12,1.782177
115.14,1.778879
117.16,1.775893
119.18,1.771239
121.2,1.763771
123.22,1.758092
125.24,1.751765
127.26,1.744004
129.28,1.734419
131.3,1.728853
133.32,1.72105
135.34,1.710661
137.36,1.703379
139.38,1.688229
141.4,1.683219
143.42,1.674928
145.44,1.662667
147.46,1.652234
149.48,1.642735
151.5,1.632006
